timestamp,server,cpu,memory,disk
2025-05-09 21:59:59.854133,server_1,78.88,10.71,75.03
2025-05-09 21:59:59.854133,server_2,46.34,49.28,50.3
2025-05-09 21:59:59.854133,server_3,75.42,19.75,37.41
2025-05-09 21:59:59.854133,server_4,5.59,87.11,46.07
2025-05-09 21:59:59.854133,server_5,15.51,57.47,47.48
2025-05-09 21:44:59.854133,server_1,19.22,72.48,32.56
2025-05-09 21:44:59.854133,server_2,18.81,33.49,36.34
2025-05-09 21:44:59.854133,server_3,86.16,65.3,31.11
2025-05-09 21:44:59.854133,server_4,83.89,53.36,79.43
2025-05-09 21:44:59.854133,server_5,94.3,14.27,51.93
2025-05-09 21:29:59.854133,server_1,5.66,82.66,47.83
2025-05-09 21:29:59.854133,server_2,96.11,81.81,73.0
2025-05-09 21:29:59.854133,server_3,92.62,94.8,68.57
2025-05-09 21:29:59.854133,server_4,25.35,99.89,53.21
2025-05-09 21:29:59.854133,server_5,16.98,79.02,69.5
2025-05-09 21:14:59.854133,server_1,48.35,93.33,38.08
2025-05-09 21:14:59.854133,server_2,27.87,21.25,33.25
2025-05-09 21:14:59.854133,server_3,63.2,67.29,62.18
2025-05-09 21:14:59.854133,server_4,45.95,47.58,91.04
2025-05-09 21:14:59.854133,server_5,57.63,69.27,82.88
2025-05-09 20:59:59.854133,server_1,22.31,43.8,85.32
2025-05-09 20:59:59.854133,server_2,22.72,17.8,83.06
2025-05-09 20:59:59.854133,server_3,75.45,95.03,84.27
2025-05-09 20:59:59.854133,server_4,45.77,16.49,97.31
2025-05-09 20:59:59.854133,server_5,20.59,18.07,26.4
2025-05-09 20:44:59.854133,server_1,84.36,96.09,52.94
2025-05-09 20:44:59.854133,server_2,74.87,23.05,79.65
2025-05-09 20:44:59.854133,server_3,8.16,80.57,93.09
2025-05-09 20:44:59.854133,server_4,54.7,43.84,37.21
2025-05-09 20:44:59.854133,server_5,93.5,15.11,58.56
2025-05-09 20:29:59.854133,server_1,9.58,94.14,65.34
2025-05-09 20:29:59.854133,server_2,14.34,36.85,76.9
2025-05-09 20:29:59.854133,server_3,90.86,87.19,94.59
2025-05-09 20:29:59.854133,server_4,78.56,84.48,61.45
2025-05-09 20:29:59.854133,server_5,90.07,94.28,46.54
2025-05-09 20:14:59.854133,server_1,39.16,63.21,62.55
2025-05-09 20:14:59.854133,server_2,35.53,24.07,74.27
2025-05-09 20:14:59.854133,server_3,21.48,41.72,70.06
2025-05-09 20:14:59.854133,server_4,50.05,83.35,62.41
2025-05-09 20:14:59.854133,server_5,48.32,95.62,88.5
2025-05-09 19:59:59.854133,server_1,35.36,20.4,96.84
2025-05-09 19:59:59.854133,server_2,39.65,85.14,81.77
2025-05-09 19:59:59.854133,server_3,65.34,46.04,36.68
2025-05-09 19:59:59.854133,server_4,67.56,36.22,53.47
2025-05-09 19:59:59.854133,server_5,67.83,53.87,21.28
2025-05-09 19:44:59.854133,server_1,89.65,93.01,79.16
2025-05-09 19:44:59.854133,server_2,82.07,73.39,91.16
2025-05-09 19:44:59.854133,server_3,33.7,85.53,65.79
2025-05-09 19:44:59.854133,server_4,10.98,22.54,39.84
2025-05-09 19:44:59.854133,server_5,33.05,81.32,51.83
2025-05-09 19:29:59.854133,server_1,54.99,30.8,45.16
2025-05-09 19:29:59.854133,server_2,18.16,59.52,33.25
2025-05-09 19:29:59.854133,server_3,24.5,34.52,77.32
2025-05-09 19:29:59.854133,server_4,73.13,59.71,27.95
2025-05-09 19:29:59.854133,server_5,42.02,32.39,75.91
2025-05-09 19:14:59.854133,server_1,7.58,59.66,62.65
2025-05-09 19:14:59.854133,server_2,99.2,63.9,99.65
2025-05-09 19:14:59.854133,server_3,87.09,30.62,41.79
2025-05-09 19:14:59.854133,server_4,74.59,27.46,69.48
2025-05-09 19:14:59.854133,server_5,51.75,51.13,95.31
2025-05-09 18:59:59.854133,server_1,13.03,97.63,44.54
2025-05-09 18:59:59.854133,server_2,62.18,70.34,59.62
2025-05-09 18:59:59.854133,server_3,49.9,54.14,78.49
2025-05-09 18:59:59.854133,server_4,7.89,79.03,68.47
2025-05-09 18:59:59.854133,server_5,96.66,83.39,59.41
2025-05-09 18:44:59.854133,server_1,24.44,21.34,53.69
2025-05-09 18:44:59.854133,server_2,79.0,62.55,93.11
